BE/eV	PE: 1486.61 eV
1003.8599999999999	4422.66
1002.8599999999999	4363.57
1001.8599999999999	4362.59
1000.8599999999999	4390.09
999.8599999999999	4329.79
998.8599999999999	4410.94
997.8599999999999	4549.55
996.8599999999999	4399.61
995.8599999999999	4369.31
994.8599999999999	4567.4
993.8599999999999	4575.45
992.8599999999999	4507.44
991.8599999999999	4493.8
990.8599999999999	4565.82
989.8599999999999	4558.76
988.8599999999999	4621.28
987.8599999999999	4505.36
986.8599999999999	4421.7
985.8599999999999	4583.64
984.8599999999999	4537.69
983.8599999999999	4509.86
982.8599999999999	4650.13
981.8599999999999	4655.59
980.8599999999999	4632.15
979.8599999999999	4536.95
978.8599999999999	4687.11
977.8599999999999	4749.65
976.8599999999999	4688.39
975.8599999999999	4772.34
974.8599999999999	4723.26
973.8599999999999	4712.16
972.8599999999999	4800.39
971.8599999999999	4816.63
970.8599999999999	4821.98
969.8599999999999	4870.08
968.8599999999999	4778.69
967.8599999999999	4675.3
966.8599999999999	4606.96
965.8599999999999	4720.45
964.8599999999999	4684.16
963.8599999999999	4713.87
962.8599999999999	4718.92
961.8599999999999	4635.18
960.8599999999999	4581.7
959.8599999999999	4694.8
958.8599999999999	4545.72
957.8599999999999	4715.84
956.8599999999999	4628.11
955.8599999999999	4809.76
954.8599999999999	4851.21
953.8599999999999	4706.59
952.8599999999999	4646.15
951.8599999999999	4682.58
950.8599999999999	4800.33
949.8599999999999	4886.34
948.8599999999999	4726.91
947.8599999999999	4747.26
946.8599999999999	4740.89
945.8599999999999	4805.33
944.8599999999999	4888.7
943.8599999999999	4894.07
942.8599999999999	4856.88
941.8599999999999	4864.92
940.8599999999999	4902.3
939.8599999999999	4797.85
938.8599999999999	4880.27
937.8599999999999	4888.86
936.8599999999999	4909.3
935.8599999999999	4975.79
934.8599999999999	4962.28
933.8599999999999	5002.88
932.8599999999999	5080.12
931.8599999999999	5028.87
930.8599999999999	4948.31
929.8599999999999	5066.17
928.8599999999999	5045.81
927.8599999999999	5126.84
926.8599999999999	5027.0
925.8599999999999	5080.17
924.8599999999999	5046.21
923.8599999999999	5011.39
922.8599999999999	4974.42
921.8599999999999	4992.38
920.8599999999999	5049.88
919.8599999999999	5029.41
918.8599999999999	4997.7
917.8599999999999	5111.44
916.8599999999999	5052.57
915.8599999999999	5090.83
914.8599999999999	5047.5
913.8599999999999	5085.62
912.8599999999999	5156.7
911.8599999999999	5090.73
910.8599999999999	5102.94
909.8599999999999	5106.83
908.8599999999999	5104.82
907.8599999999999	5205.4
906.8599999999999	5188.02
905.8599999999999	5088.43
904.8599999999999	5280.8
903.8599999999999	5217.14
902.8599999999999	5201.42
901.8599999999999	5079.83
900.8599999999999	5140.19
899.8599999999999	5263.47
898.8599999999999	5270.03
897.8599999999999	5310.72
896.8599999999999	5277.1
895.8599999999999	5366.3
894.8599999999999	5330.05
893.8599999999999	5210.57
892.8599999999999	5341.29
891.8599999999999	5394.94
890.8599999999999	5358.96
889.8599999999999	5289.19
888.8599999999999	5385.42
887.8599999999999	5477.88
886.8599999999999	5568.15
885.8599999999999	5469.64
884.8599999999999	5372.05
883.8599999999999	5378.97
882.8599999999999	5514.36
881.8599999999999	5367.06
880.8599999999999	5395.2
879.8599999999999	5385.98
878.8599999999999	5542.82
877.8599999999999	5467.34
876.8599999999999	5493.31
875.8599999999999	5553.29
874.8599999999999	5496.1
873.8599999999999	5581.89
872.8599999999999	5573.07
871.8599999999999	5609.8
870.8599999999999	5548.21
869.8599999999999	5575.75
868.8599999999999	5553.07
867.8599999999999	5689.44
866.8599999999999	5718.66
865.8599999999999	5743.58
864.8599999999999	5660.11
863.8599999999999	5642.3
862.8599999999999	5691.05
861.8599999999999	5768.81
860.8599999999999	5655.86
859.8599999999999	5722.72
858.8599999999999	5671.32
857.8599999999999	5795.97
856.8599999999999	5722.38
855.8599999999999	5763.24
854.8599999999999	5790.63
853.8599999999999	5707.95
852.8599999999999	5739.68
851.8599999999999	5598.55
850.8599999999999	5798.46
849.8599999999999	5862.32
848.8599999999999	5888.43
847.8599999999999	5846.12
846.8599999999999	5891.58
845.8599999999999	5877.16
844.8599999999999	5784.32
843.8599999999999	5916.78
842.8599999999999	5841.92
841.8599999999999	5832.2
840.8599999999999	5926.65
839.8599999999999	6003.69
838.8599999999999	5874.13
837.8599999999999	5929.27
836.8599999999999	5875.7
835.8599999999999	5963.76
834.8599999999999	5887.11
833.8599999999999	5938.92
832.8599999999999	5932.3
831.8599999999999	5947.82
830.8599999999999	5993.58
829.8599999999999	5989.48
828.8599999999999	5933.07
827.8599999999999	6090.74
826.8599999999999	6086.34
825.8599999999999	5982.53
824.8599999999999	5950.17
823.8599999999999	6113.59
822.8599999999999	6164.98
821.8599999999999	6116.2
820.8599999999999	6182.11
819.8599999999999	5991.14
818.8599999999999	6110.08
817.8599999999999	6118.62
816.8599999999999	6147.39
815.8599999999999	5983.74
814.8599999999999	6119.02
813.8599999999999	6053.37
812.8599999999999	6247.65
811.8599999999999	6285.16
810.8599999999999	6192.18
809.8599999999999	6341.87
808.8599999999999	6242.18
807.8599999999999	6329.6
806.8599999999999	6227.72
805.8599999999999	6281.42
804.8599999999999	6232.28
803.8599999999999	6265.65
802.8599999999999	6273.81
801.8599999999999	6285.97
800.8599999999999	6364.36
799.8599999999999	6444.66
798.8599999999999	6484.83
797.8599999999999	6441.57
796.8599999999999	6287.52
795.8599999999999	6277.73
794.8599999999999	6371.03
793.8599999999999	6541.09
792.8599999999999	6432.04
791.8599999999999	6471.27
790.8599999999999	6475.63
789.8599999999999	6399.81
788.8599999999999	6477.93
787.8599999999999	6487.09
786.8599999999999	6432.83
785.8599999999999	6505.29
784.8599999999999	6574.27
783.8599999999999	6568.86
782.8599999999999	6690.03
781.8599999999999	6680.64
780.8599999999999	6591.43
779.8599999999999	6573.4
778.8599999999999	6680.27
777.8599999999999	6547.71
776.8599999999999	6564.24
775.8599999999999	6594.45
774.8599999999999	6648.51
773.8599999999999	6672.66
772.8599999999999	6765.12
771.8599999999999	6661.59
770.8599999999999	6732.26
769.8599999999999	6741.54
768.8599999999999	6809.4
767.8599999999999	6639.67
766.8599999999999	6672.55
765.8599999999999	6774.15
764.8599999999999	6826.28
763.8599999999999	6903.99
762.8599999999999	6851.23
761.8599999999999	6897.13
760.8599999999999	6876.36
759.8599999999999	6796.87
758.8599999999999	7000.44
757.8599999999999	6906.84
756.8599999999999	6828.59
755.8599999999999	6887.77
754.8599999999999	6940.91
753.8599999999999	6979.07
752.8599999999999	6869.2
751.8599999999999	6843.38
750.8599999999999	6927.22
749.8599999999999	6989.9
748.8599999999999	6866.9
747.8599999999999	6913.53
