Energy,Raw_Data,Fit
1447.51,90.4753,143.02350341479251
1447.61,106.551,140.53533529045447
1447.7099999999998,118.752,138.21630925522936
1447.81,104.551,136.15378688240935
1447.9099999999999,91.5989,134.32040203859833
1448.01,110.55,132.56000397623473
1448.11,109.691,130.94089324704305
1448.2099999999998,87.9198,129.53865578444686
1448.31,112.439,128.14202967295031
1448.4099999999999,103.376,nan
1448.51,109.554,nan
1448.61,104.627,nan
1448.7099999999998,88.015,nan
1448.81,73.875,nan
1448.9099999999999,86.546,nan
1449.01,93.897,nan
1449.11,102.269,nan
1449.2099999999998,83.5335,nan
1449.31,84.2751,nan
1449.4099999999999,86.3521,nan
1449.51,99.8905,nan
1449.61,113.399,nan
1449.7099999999998,95.2633,nan
1449.81,94.6468,nan
1449.9099999999999,123.23,nan
1450.01,116.19,nan
1450.11,114.703,nan
1450.2099999999998,93.5021,nan
1450.31,75.4783,nan
1450.4099999999999,103.248,nan
1450.51,87.3392,nan
1450.61,82.4155,nan
1450.7099999999998,86.3796,nan
1450.81,90.3224,nan
1450.9099999999999,96.2872,nan
1451.01,102.953,nan
1451.11,87.4878,nan
1451.2099999999998,86.1718,nan
1451.31,97.0511,nan
1451.4099999999999,104.245,nan
1451.51,94.3562,nan
1451.61,96.8117,nan
1451.7099999999998,91.6804,nan
1451.81,90.5762,nan
1451.9099999999999,89.4271,nan
1452.01,100.345,nan
1452.11,87.9337,nan
1452.2099999999998,83.8542,nan
1452.31,88.2141,nan
1452.4099999999999,100.42,nan
1452.51,91.216,nan
1452.61,81.1803,nan
